sleep_hours,water_intake,exercise_minutes,stress_level,mood_score,wellness_status
4.4,2,11,9,4,Needs Attention
6.3,9,43,3,6,Excellent
5.9,7,72,10,2,Needs Attention
9.3,4,20,10,1,Needs Attention
8.0,6,56,7,8,Good
7.6,8,34,4,9,Excellent
4.7,8,14,5,10,Average
6.9,6,5,4,7,Average
9.9,2,0,4,5,Needs Attention
9.7,4,32,5,6,Average
4.7,9,55,3,3,Average
6.3,5,64,9,6,Average
4.4,2,55,1,8,Good
9.5,7,73,7,10,Good
6.4,8,37,2,7,Excellent
4.1,7,21,10,8,Average
9.0,7,11,7,2,Needs Attention
5.5,8,67,2,7,Good
9.2,7,28,6,3,Average
4.5,3,67,9,4,Needs Attention
9.4,7,44,3,4,Good
4.6,6,25,3,10,Good
4.9,3,22,8,8,Needs Attention
8.5,9,87,10,10,Good
5.9,7,19,8,2,Needs Attention
6.8,6,35,10,1,Needs Attention
6.1,3,39,8,8,Average
4.2,7,36,2,2,Average
7.7,10,49,8,10,Good
7.3,2,57,10,4,Average
5.9,9,64,3,1,Average
6.7,7,10,9,3,Needs Attention
4.2,9,56,9,9,Average
7.7,7,47,5,7,Excellent
6.5,7,86,10,1,Average
8.7,7,8,6,2,Average
7.3,8,36,5,10,Excellent
9.2,7,10,10,3,Needs Attention
9.5,6,83,7,3,Needs Attention
7.6,3,39,9,7,Average
7.9,7,16,9,2,Needs Attention
7.9,8,65,6,1,Good
6.2,4,27,6,8,Good
5.2,4,19,2,5,Needs Attention
9.1,3,64,9,9,Average
4.2,7,79,3,10,Excellent
6.3,4,23,10,3,Needs Attention
8.3,2,52,6,4,Good
9.8,6,57,4,9,Excellent
5.4,9,24,6,10,Good
9.9,9,36,7,9,Good
7.2,4,25,10,3,Needs Attention
9.2,2,82,8,6,Average
7.3,3,66,2,5,Good
4.5,4,34,8,9,Needs Attention
4.9,8,11,4,8,Average
9.3,2,53,1,7,Good
7.0,5,49,2,6,Excellent
5.3,7,12,6,3,Needs Attention
4.8,6,60,3,8,Good
6.7,2,10,1,5,Average
5.3,4,70,10,9,Needs Attention
6.5,6,30,5,2,Average
4.3,8,81,10,8,Average
4.4,9,76,9,1,Needs Attention
7.8,5,18,5,7,Good
4.0,7,30,10,7,Average
5.1,3,67,6,2,Needs Attention
9.7,10,64,9,9,Good
4.1,9,5,7,6,Needs Attention
5.5,2,45,2,6,Average
5.4,3,74,6,3,Needs Attention
4.3,10,43,3,8,Good
9.9,9,80,3,3,Good
4.4,9,4,5,4,Average
4.3,5,5,6,5,Needs Attention
7.1,10,60,5,1,Good
8.5,5,36,6,1,Average
9.2,7,34,2,6,Excellent
6.6,8,56,7,6,Good
9.8,9,88,8,6,Good
9.5,10,34,2,7,Excellent
4.5,4,69,5,6,Average
4.6,7,84,5,5,Good
6.7,8,21,8,6,Average
6.7,7,78,7,5,Average
7.8,2,9,7,6,Needs Attention
7.1,4,3,3,10,Good
8.1,9,4,3,2,Average
5.4,7,46,7,10,Average
4.2,4,86,8,6,Needs Attention
6.2,3,73,3,9,Good
6.2,7,83,5,4,Good
9.8,2,23,8,9,Average
6.3,10,15,5,5,Average
8.2,5,78,5,8,Excellent
5.2,4,9,8,3,Needs Attention
9.4,9,11,6,6,Good
8.3,10,69,5,5,Excellent
9.1,4,46,9,4,Needs Attention
4.7,5,17,4,8,Average
4.2,10,73,6,8,Good
8.8,10,16,10,2,Needs Attention
4.4,8,61,9,7,Average
8.6,3,16,6,2,Needs Attention
6.7,10,44,3,9,Excellent
7.8,4,16,7,9,Needs Attention
9.5,2,15,9,3,Needs Attention
5.8,4,41,4,6,Average
9.7,10,36,2,5,Good
5.2,10,35,3,5,Good
7.7,3,64,3,10,Excellent
9.6,4,21,10,10,Average
6.0,2,3,2,1,Needs Attention
9.7,6,83,4,10,Excellent
6.5,2,63,9,5,Needs Attention
7.9,6,61,4,7,Excellent
5.8,3,88,1,3,Needs Attention
6.6,9,59,4,6,Excellent
7.6,7,40,6,7,Excellent
4.8,7,65,9,2,Needs Attention
5.9,9,15,5,8,Average
5.5,3,6,5,7,Needs Attention
9.2,8,31,3,6,Excellent
9.6,7,24,3,8,Excellent
10.0,9,63,5,8,Excellent
4.1,8,64,8,4,Average
5.3,7,6,1,5,Average
7.0,9,36,9,1,Average
9.1,8,17,5,6,Good
8.6,7,5,7,1,Needs Attention
7.4,5,46,9,5,Average
4.4,10,57,9,5,Average
9.0,3,16,2,7,Average
6.2,7,71,6,3,Good
5.2,10,51,9,1,Needs Attention
4.3,4,42,8,9,Needs Attention
6.7,10,17,6,10,Good
5.9,8,78,5,10,Good
6.0,10,68,8,10,Good
5.8,2,47,6,2,Needs Attention
9.9,6,88,1,10,Excellent
6.8,5,6,10,8,Average
5.0,8,18,4,1,Needs Attention
7.4,3,24,1,8,Good
5.9,4,52,4,7,Average
7.0,9,7,3,9,Excellent
5.2,7,84,8,9,Average
6.3,4,58,9,6,Average
7.3,6,78,8,4,Average
9.7,6,71,5,4,Good
9.6,6,36,4,8,Good
5.9,7,71,5,5,Good
4.7,10,48,7,6,Average
9.7,4,37,1,5,Average
9.7,3,44,8,5,Needs Attention
8.5,5,25,9,5,Average
9.6,6,17,2,10,Good
8.4,5,31,1,9,Excellent
5.4,5,6,2,7,Average
6.0,9,12,3,1,Average
9.8,4,52,8,8,Average
7.9,6,41,5,1,Average
9.4,3,83,10,4,Needs Attention
7.2,2,22,7,3,Needs Attention
9.6,2,50,8,3,Needs Attention
9.6,6,4,1,5,Average
7.4,3,42,5,8,Good
9.9,10,67,8,3,Average
9.1,9,34,4,2,Average
6.0,9,82,5,3,Good
4.1,7,37,10,4,Needs Attention
5.1,8,54,9,6,Average
4.5,3,23,3,8,Average
5.9,5,0,5,7,Average
5.4,6,42,5,10,Good
8.3,2,33,6,4,Average
4.4,3,59,5,3,Needs Attention
6.4,10,90,5,2,Good
7.8,6,47,10,4,Average
5.3,4,61,3,8,Good
8.5,7,53,9,8,Good
8.5,5,31,10,2,Needs Attention
7.2,10,90,6,2,Good
9.5,3,7,9,9,Needs Attention
5.2,10,19,3,6,Average
9.1,9,14,4,10,Good
6.9,10,57,1,8,Excellent
4.8,8,58,10,1,Needs Attention
7.4,6,2,7,5,Needs Attention
8.9,5,74,2,1,Good
6.5,3,69,1,2,Average
9.9,9,4,5,7,Good
5.1,4,82,7,6,Needs Attention
10.0,8,57,7,7,Good
4.5,10,17,6,2,Needs Attention
5.1,10,50,9,3,Needs Attention
8.4,5,0,1,5,Good
6.8,10,54,9,7,Good
8.9,5,58,6,3,Good
5.7,3,4,7,10,Needs Attention
8.6,2,30,4,2,Average
4.6,2,57,10,1,Needs Attention
5.5,2,51,8,4,Needs Attention
7.2,2,17,9,5,Needs Attention
5.4,7,73,10,6,Average
5.4,4,84,9,4,Needs Attention
6.5,6,7,9,10,Average
9.3,4,80,7,9,Average
7.0,7,82,7,9,Good
5.9,8,52,3,5,Good
6.3,10,60,4,4,Good
5.8,4,59,1,9,Good
6.5,8,71,9,3,Average
6.3,6,26,6,2,Average
9.5,7,11,9,4,Needs Attention
4.3,8,86,10,10,Average
4.2,3,24,10,9,Needs Attention
5.3,5,42,5,1,Needs Attention
5.3,5,15,8,4,Needs Attention
8.2,5,50,4,9,Excellent
5.9,6,48,8,9,Average
7.9,6,33,6,9,Excellent
9.3,9,12,8,6,Average
9.5,7,40,7,1,Needs Attention
7.4,5,18,1,5,Good
7.3,8,37,3,4,Excellent
6.0,8,72,4,8,Excellent
7.3,7,32,8,8,Good
6.8,7,21,3,9,Excellent
6.9,10,82,1,9,Excellent
4.2,3,85,1,1,Needs Attention
6.5,5,8,3,1,Average
5.3,9,47,1,10,Excellent
7.8,9,84,8,1,Average
4.0,10,52,1,1,Average
7.2,6,68,5,1,Good
7.0,8,22,2,2,Good
7.1,5,24,10,9,Good
5.5,7,34,7,2,Needs Attention
6.2,8,58,10,4,Average
9.9,5,38,2,1,Average
4.6,8,48,9,8,Average
4.3,2,89,3,2,Needs Attention
7.0,8,82,6,10,Excellent
9.9,3,67,1,4,Good
5.3,9,34,1,2,Average
8.1,6,69,10,1,Average
5.1,7,2,4,10,Average
4.9,8,9,5,3,Needs Attention
7.4,8,86,9,6,Good
6.3,4,88,2,9,Good
8.5,7,6,2,7,Good
5.4,3,43,10,10,Needs Attention
9.7,8,41,1,5,Good
8.7,9,62,4,6,Excellent
7.3,8,55,3,10,Excellent
8.0,3,79,5,4,Good
8.3,3,34,3,7,Good
8.3,4,49,6,6,Good
4.6,2,39,8,6,Needs Attention
8.6,3,16,2,3,Needs Attention
6.6,10,71,9,7,Good
4.6,3,45,9,2,Needs Attention
7.6,7,49,1,5,Excellent
6.5,3,71,4,10,Good
7.1,8,21,3,5,Excellent
5.8,9,18,2,3,Needs Attention
6.6,8,38,8,2,Needs Attention
6.2,5,80,8,10,Good
7.7,9,13,3,5,Good
4.0,8,42,10,7,Average
8.8,7,56,6,7,Excellent
8.9,4,38,6,10,Good
9.7,5,61,6,3,Average
9.8,7,37,8,10,Good
8.7,7,48,5,7,Excellent
6.2,5,75,9,3,Needs Attention
8.1,10,3,8,4,Average
6.6,6,88,2,7,Excellent
8.0,4,81,5,4,Good
5.5,4,54,7,2,Needs Attention
6.7,9,74,7,9,Good
7.0,8,69,1,6,Excellent
8.2,10,76,2,2,Good
8.6,7,21,10,1,Average
7.4,8,42,7,2,Average
4.1,6,28,9,9,Average
7.3,5,57,6,7,Excellent
6.8,10,19,6,1,Average
6.9,6,53,2,2,Good
9.0,4,44,5,6,Good
6.7,5,66,8,6,Average
6.9,9,89,8,6,Good
4.4,2,90,2,1,Needs Attention
9.1,3,86,3,4,Good
7.1,10,20,6,9,Excellent
6.6,9,29,7,3,Needs Attention
5.1,8,50,1,10,Excellent
9.3,9,75,7,7,Good
4.0,5,26,5,2,Needs Attention
7.5,10,23,6,6,Excellent
5.2,3,33,8,9,Needs Attention
9.8,7,76,7,10,Good
6.4,3,44,6,8,Good
7.7,6,78,10,2,Average
8.0,7,15,4,5,Good
4.7,7,88,3,9,Excellent
6.3,4,73,7,7,Average
5.1,10,88,3,9,Excellent
5.0,6,17,3,6,Average
9.1,2,45,1,8,Good
4.8,8,71,9,8,Average
6.5,9,53,8,8,Good
5.0,2,28,5,1,Needs Attention
5.6,10,36,3,8,Good
7.4,9,70,9,2,Average
7.4,6,69,6,9,Excellent
8.9,2,56,9,4,Average
9.9,3,83,4,5,Average
9.2,2,57,5,6,Good
9.2,3,56,2,4,Good
5.3,7,90,10,7,Average
5.0,4,26,4,1,Needs Attention
7.4,10,35,10,9,Good
5.0,6,37,10,5,Needs Attention
9.7,10,86,2,3,Good
9.8,8,7,5,3,Average
8.2,4,31,3,6,Good
9.0,8,62,3,10,Excellent
7.8,8,48,8,2,Average
7.8,3,51,9,5,Average
8.2,7,58,8,6,Good
7.5,3,58,6,2,Average
8.8,8,27,7,4,Average
7.0,7,36,6,9,Excellent
7.5,9,43,1,1,Good
4.6,9,2,2,3,Needs Attention
6.6,2,54,4,3,Average
9.3,6,20,5,2,Average
7.9,6,10,6,3,Average
4.3,6,89,4,7,Good
7.9,3,0,4,8,Average
4.5,5,66,8,1,Needs Attention
4.0,7,15,7,3,Needs Attention
6.9,5,49,2,2,Good
4.6,7,38,3,7,Good
8.6,4,82,3,2,Average
7.2,2,78,3,8,Excellent
6.1,5,80,3,7,Excellent
7.7,9,27,2,2,Good
4.8,3,75,7,6,Needs Attention
9.8,7,17,4,5,Average
7.9,5,70,10,10,Good
8.3,6,88,1,5,Excellent
5.2,10,24,7,5,Needs Attention
7.9,5,63,7,2,Average
5.4,3,67,1,6,Average
9.6,4,49,10,7,Average
6.2,4,60,2,1,Average
7.5,2,33,4,1,Average
9.5,8,64,5,9,Excellent
8.6,8,89,7,2,Average
7.8,10,78,3,5,Excellent
4.5,3,65,4,3,Needs Attention
7.2,8,75,2,5,Excellent
8.2,5,7,4,2,Average
9.5,3,58,10,10,Average
4.3,4,15,1,3,Needs Attention
8.2,4,63,6,9,Good
7.1,6,21,6,3,Average
8.5,6,15,1,6,Good
8.8,6,67,2,5,Excellent
8.3,3,63,8,9,Average
6.2,9,72,3,6,Excellent
4.9,3,73,2,4,Average
8.4,2,5,1,4,Average
4.3,7,49,3,3,Average
9.6,2,70,7,4,Needs Attention
5.9,8,40,5,2,Average
7.4,3,64,1,3,Average
5.3,10,5,7,2,Needs Attention
9.3,6,39,6,2,Average
7.3,2,47,4,5,Good
7.4,6,79,4,8,Excellent
6.2,9,25,9,4,Average
4.9,8,3,4,9,Average
6.1,2,42,1,7,Good
9.1,6,13,4,9,Good
9.9,8,62,1,3,Good
8.3,3,5,4,9,Average
6.5,7,58,2,10,Excellent
4.6,4,81,7,2,Needs Attention
7.6,2,55,3,4,Good
5.8,7,50,6,6,Good
6.7,5,9,4,3,Needs Attention
8.7,3,19,2,3,Needs Attention
6.7,7,52,2,9,Excellent
6.1,5,57,5,8,Excellent
5.6,3,11,3,5,Needs Attention
9.0,2,27,6,3,Average
4.5,5,45,7,9,Average
4.3,6,33,3,1,Average
9.7,9,71,9,4,Average
4.6,3,17,2,1,Needs Attention
4.4,5,16,4,7,Average
6.2,3,74,10,5,Needs Attention
9.5,3,2,2,4,Average
9.4,9,16,2,6,Good
4.7,9,6,3,10,Good
6.6,8,63,1,7,Excellent
8.1,4,45,4,3,Average
5.6,9,19,1,10,Good
7.7,5,82,5,8,Excellent
6.5,10,61,1,2,Good
5.7,4,53,4,9,Average
5.5,10,2,7,6,Needs Attention
6.9,9,44,10,9,Good
5.9,6,23,1,6,Good
7.6,2,35,1,8,Good
7.2,5,20,2,4,Good
7.9,6,68,1,4,Excellent
7.5,8,45,3,3,Good
5.4,7,89,6,10,Good
4.2,7,72,10,3,Needs Attention
7.4,5,63,9,5,Average
5.1,2,11,1,4,Needs Attention
7.6,2,67,8,1,Needs Attention
6.0,5,16,6,3,Needs Attention
9.5,7,7,1,3,Average
7.5,4,14,9,6,Needs Attention
9.8,7,90,7,10,Good
4.6,6,41,3,3,Average
8.4,8,81,8,6,Good
5.0,10,88,10,6,Average
5.3,4,48,5,5,Average
4.8,2,89,10,7,Needs Attention
9.1,2,23,10,6,Needs Attention
9.5,5,81,10,2,Needs Attention
9.6,4,42,2,4,Average
6.1,7,21,2,6,Excellent
6.7,6,26,4,2,Average
6.1,3,0,1,7,Average
6.6,8,21,7,8,Good
9.3,7,69,7,2,Average
9.0,5,20,8,2,Needs Attention
8.8,2,37,1,6,Good
5.6,3,9,6,3,Needs Attention
9.3,4,9,9,2,Needs Attention
6.0,9,90,1,7,Excellent
9.7,4,77,7,3,Needs Attention
4.3,7,26,4,7,Good
8.2,10,33,5,5,Good
5.4,2,50,10,9,Needs Attention
9.0,4,6,6,1,Needs Attention
6.6,6,84,10,8,Good
5.2,2,26,3,5,Average
9.9,9,14,5,7,Good
6.8,6,11,9,7,Needs Attention
5.1,8,47,3,8,Excellent
4.3,9,59,5,4,Good
9.0,2,19,2,2,Needs Attention
8.0,10,52,10,4,Good
7.3,8,66,7,9,Good
8.1,9,73,4,8,Excellent
5.8,8,4,9,10,Needs Attention
9.4,4,15,8,3,Needs Attention
9.7,4,27,4,3,Needs Attention
4.3,3,87,7,4,Needs Attention
10.0,4,76,5,6,Good
9.5,3,11,7,9,Needs Attention
6.4,7,35,9,8,Good
9.5,2,89,10,10,Average
7.1,8,14,7,3,Needs Attention
4.9,3,13,10,2,Needs Attention
8.7,10,44,7,5,Average
6.3,9,73,10,8,Good
4.2,6,51,3,10,Good
7.7,8,4,7,6,Average
8.1,2,60,5,6,Good
4.1,6,39,5,8,Good
9.1,3,29,3,5,Average
9.8,9,41,5,7,Good
7.6,3,24,8,4,Needs Attention
9.5,8,62,9,6,Good
8.9,10,20,2,5,Excellent
8.3,8,17,9,10,Average
4.2,5,25,1,4,Average
4.2,2,46,4,5,Average
6.2,9,64,7,2,Average
8.1,5,47,8,10,Good
6.7,9,75,9,6,Good
6.1,6,88,2,5,Good
4.2,2,20,10,4,Needs Attention
9.1,5,86,4,5,Good
7.9,10,2,1,8,Excellent
9.5,4,76,1,4,Good
5.5,6,90,5,7,Good
9.4,7,58,5,4,Good
6.8,10,79,7,10,Good
4.6,10,84,6,9,Good
7.9,6,38,2,8,Excellent
4.4,6,81,6,5,Average
5.6,6,24,3,9,Good
8.6,2,76,7,6,Average
8.1,2,83,8,5,Average
5.6,8,51,7,1,Needs Attention
7.5,5,43,4,9,Excellent
7.8,9,85,6,9,Excellent
5.8,4,84,9,3,Needs Attention
5.8,9,16,5,9,Average
8.6,4,87,6,2,Average
5.3,5,39,7,6,Needs Attention
6.2,6,59,2,8,Excellent
4.3,3,60,4,9,Average
4.7,8,67,5,7,Good
4.3,4,17,4,6,Needs Attention
6.5,9,18,6,3,Average
8.7,9,42,3,6,Excellent
7.8,2,57,5,4,Good
8.6,4,73,3,8,Excellent
8.7,3,16,10,7,Needs Attention
7.8,8,54,8,7,Good
4.0,10,25,6,1,Average
9.4,10,24,1,1,Good
7.8,5,28,6,5,Good
4.8,8,64,10,5,Average
5.0,2,38,5,8,Average
8.4,10,43,7,3,Average
6.1,9,45,4,3,Good
9.7,8,2,4,4,Average
8.4,4,27,1,10,Good
7.0,3,46,1,7,Good
9.3,6,68,10,1,Needs Attention
7.6,2,84,2,1,Average
4.3,3,53,8,7,Needs Attention
4.7,6,60,3,4,Good
8.2,2,38,7,2,Needs Attention
8.0,6,79,10,3,Average
6.5,3,65,10,2,Needs Attention
5.7,3,63,4,10,Average
5.2,6,66,4,6,Good
8.2,6,20,1,9,Excellent
7.0,5,88,8,6,Good
5.4,2,85,2,2,Needs Attention
9.0,9,19,2,9,Excellent
4.5,3,32,4,8,Average
9.9,6,33,8,1,Needs Attention
4.6,4,5,5,6,Needs Attention
8.8,7,54,2,2,Good
9.1,2,1,3,3,Needs Attention
6.0,9,79,5,2,Good
6.2,7,23,2,7,Excellent
6.4,9,34,7,8,Good
8.8,4,14,3,1,Needs Attention
9.9,4,13,7,10,Needs Attention
6.9,9,23,10,7,Average
8.7,2,87,3,8,Excellent
9.5,3,52,8,1,Needs Attention
4.4,7,1,9,10,Needs Attention
8.3,5,85,6,9,Excellent
7.1,3,55,4,8,Good
6.1,8,19,9,10,Average
4.3,4,64,8,8,Needs Attention
9.2,3,62,6,4,Average
6.0,6,6,9,4,Needs Attention
7.3,8,51,4,2,Good
6.8,9,11,8,8,Average
5.9,9,83,1,2,Average
6.4,2,71,9,1,Needs Attention
9.0,6,65,9,4,Average
7.9,9,43,6,1,Good
8.9,9,42,9,10,Good
7.6,7,57,2,2,Good
8.6,5,0,6,6,Good
9.0,6,70,9,6,Good
8.2,2,21,8,3,Needs Attention
8.9,8,13,5,10,Good
5.2,3,50,4,8,Average
8.9,5,43,2,7,Excellent
4.3,3,57,8,10,Needs Attention
9.7,4,63,1,9,Good
8.4,10,55,10,8,Good
9.5,4,88,10,3,Needs Attention
8.4,4,13,7,10,Needs Attention
7.6,7,64,7,7,Good
